iterative_error,iterative_error,iterative_error,iterative_error,iterative_error,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
2448.65,0.137241,3.24048,134.764,3,
2304.31,0,1.42381,49.819,3,
1954.59,0.126417,0.990476,63.51,3,
2170.17,0,0.780952,25.8527,3,
2135.6,0.0554408,1.01905,69.0477,3,
2147.01,0.595665,2.23492,186.457,3,
2117.85,0.676384,3.19286,154.02,3,
2303.7,0,1.10952,39.855,3,
1677.77,0.518749,0.828571,87.995,3,
2198.14,0.13152,1.775,108.187,3,
2406.5,0.473997,2.32262,116.375,3,
2208.69,0.165711,2.35833,129.862,3,
2125.88,0,1.13333,36.1733,3,
2219.2,0,1.56667,55.781,3,
1919.61,0.0557474,0.679762,45.4697,3,
2024.55,0,0.8,28.671,3,
2130.62,0.385395,5.31786,247.527,3,
2046.34,0,1.25238,34.513,3,
2251.42,0,1.02143,51.357,3,
2124.93,0.150824,1.26548,88.2953,3,
2152.45,0.290948,1.6381,85.411,3,
2272.1,0.132886,0.634127,39.215,4,
2113.94,0,0.980952,30.8733,3,
2131.35,0,1.42857,41.048,3,
2079.87,0,1.19762,39.489,3,
2053.58,0,0.661905,24.9947,3,
1800.67,0.277052,1.21548,75.7397,3,
1849.75,0.428758,1.6119,147.824,3,
1973.51,0.158351,1.975,111.245,3,
2513.33,0.159647,3.02698,238.904,3,
2165.31,0,0.916667,31.48,3,
2389.45,0.202483,0.916667,63.369,4,
2188.26,0.776753,1.54405,78.2563,3,
2344.31,0.298302,1.27024,86.337,3,
2298.4,0.186688,1.44048,144.294,4,
1911.08,0.147276,1.17222,122.723,3,
2041.71,0,2.30952,70.0503,3,
2136,0,1.15476,41.8117,3,
2195.67,0,1.49762,53.8263,3,
2091.04,0,1.15238,36.6773,3,
2060.19,0,1.07857,27.984,3,
1917.43,0.0140837,1.18929,69.9483,3,
2455.28,0.506497,2.18929,116.858,3,
2413.48,0,2.20714,54.1583,3,
2085.51,0.735521,4.6,197.175,3,
2223.84,0,1.57143,51.906,3,
2444.4,0.522568,4.06349,286.599,3,
2172.49,0.553943,4.17976,195.59,3,
2151.58,0,1.63095,44.0863,3,
2209.56,0,1.04286,41.2623,3,
2137.3,0,1.10714,37.943,3,
2687.07,0.264482,1.14841,82.6783,4,
2169.95,0,1.27857,41.684,3,
2553.63,0,6.42381,138.505,3,
2154.24,0,1.01429,33.2493,3,
2174.02,0.801619,4.36667,218.745,3,
2204.65,0,1.68571,57.9413,3,
1988.8,0.18802,1.1881,71.534,3,
1997.86,0,0.416667,12.486,3,
2474.47,0.4188,2.50119,114.842,3,
2244.11,0,1.61667,58.2777,3,
1889.9,0.161219,1.00238,74.456,3,
1895.8,0.443318,1.56111,145.701,3,
2231.35,0.0184888,1.24762,73.9113,3,
1863.2,0.70934,1.85476,83.5393,3,
1869.41,0.776219,2.4381,200.738,3,
2079.03,0,0.728571,27.2717,3,
2203.69,0,1.4381,47.7263,3,
2803.15,0.744413,2.12698,114.958,4,
2071.19,0.652136,3.29405,146.418,3,
1972.61,0.307252,1.71548,108.087,3,
2114.46,0,1.4,41.9973,3,
2054.39,0,1.36429,41.1333,3,
2802.99,0.362873,2.62302,132.527,4,
2130.38,0,1.38095,47.715,3,
1708.04,0.20479,0.539683,62.81,3,
2293.78,0.190259,1.64286,88.991,3,
1855,0.197329,1.1873,98.2563,3,
2105.88,0.605064,2.96905,208.083,3,
2270.09,0.066396,2.30476,116.623,3,
2058.52,0,0.738095,30.7437,3,
2734.29,0,11.4262,245.207,3,
2107.54,0,0.761905,32.66,3,
2017.86,0,0.607143,19.636,3,
2150.42,0.12831,1.2373,112.753,3,
2447.56,0.675989,1.06746,68.543,4,
2072.73,0.406511,3.16071,154.151,3,
2148.01,0.342895,1.42381,79.6523,3,
1562.32,0.271571,0.659524,41.355,3,
2181.01,0,1.28571,42.4647,3,
2422.76,0.709314,3.6619,176.286,3,
2266.81,0,1.67619,68.574,3,
2289.57,0,1.46667,50.0703,3,
2503.57,0.130342,2.175,117.396,3,
2182.8,0.210552,1.3369,87.7083,3,
2123.98,0,1.44762,38.4033,3,
2052.33,0,0.92381,28.6363,3,
2519.45,0.444736,0.698214,54.5074,5,
2616.45,0.00536177,4.46905,189.151,3,
2057.92,0,0.72619,18.479,3,
